Seja,Delovno telo,Tip,Datum
5. nujna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,13. 12. 2021
43. nujna seja, Odbor za gospodarstvo ,Seja,13. 12. 2021
24. redna seja, Komisija za nadzor javnih financ ,Seja,10. 12. 2021
126. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,10. 12. 2021
35. nujna seja, Komisija za nadzor javnih financ ,Seja,10. 12. 2021
99. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,10. 12. 2021
67. nujna seja, Odbor za finance ,Seja,10. 12. 2021
42. nujna seja, Odbor za gospodarstvo ,Seja,10. 12. 2021
4. nujna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,9. 12. 2021
7. redna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,9. 12. 2021
37. redna seja, Mandatno-volilna komisija ,Seja,9. 12. 2021
11. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,9. 12. 2021
6. redna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,9. 12. 2021
67. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,8. 12. 2021
21. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,8. 12. 2021
8. redna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,8. 12. 2021
6. redna seja, Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij zaradi suma nedopustnega političnega vmešavanja v delo policije in političnega vplivanja na potek oziroma izid predkazenskih in drugih postopkov ,Seja,8. 12. 2021
98. redna seja, Odbor za zunanjo politiko ,Seja,8. 12. 2021
12. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,7. 12. 2021
5. redna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,7. 12. 2021
22. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,7. 12. 2021
9. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,7. 12. 2021
67. nujna seja, Odbor za zdravstvo ,Seja,6. 12. 2021
41. nujna seja, Odbor za gospodarstvo ,Seja,6. 12. 2021
97. redna seja, Odbor za zunanjo politiko ,Seja,3. 12. 2021
58. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,3. 12. 2021
125. redna seja, Odbor za zadeve Evropske unije ,Seja,3. 12. 2021
17. redna seja, Odbor za kulturo ,Seja,2. 12. 2021
34. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,2. 12. 2021
66. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,2. 12. 2021
32. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,2. 12. 2021
34. nujna seja, Komisija za nadzor javnih financ ,Seja,2. 12. 2021
28. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,1. 12. 2021
34. redna seja, Odbor za pravosodje ,Seja,1. 12. 2021
34. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,30. 11. 2021
19. redna seja, Odbor za obrambo ,Seja,30. 11. 2021
25. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,30. 11. 2021
