Seja,Delovno telo,Tip,Datum
80. redna seja, Odbor za zunanjo politiko ,Seja,30. 3. 2021
79. redna seja, Odbor za zunanjo politiko ,Seja,29. 3. 2021
15. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,26. 3. 2021
56. nujna seja, Odbor za finance ,Seja,24. 3. 2021
28. nujna seja, Odbor za pravosodje ,Seja,24. 3. 2021
52. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,22. 3. 2021
24. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,22. 3. 2021
25. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,19. 3. 2021
78. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,19. 3. 2021
48. nujna seja, Odbor za zdravstvo ,Seja,19. 3. 2021
55. nujna seja, Odbor za finance ,Seja,19. 3. 2021
101. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,19. 3. 2021
28. redna seja, Mandatno-volilna komisija ,Seja,18. 3. 2021
77. redna seja, Odbor za zunanjo politiko ,Seja,17. 3. 2021
13. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,17. 3. 2021
54. nujna seja, Odbor za finance ,Seja,17. 3. 2021
10. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,17. 3. 2021
30. nujna seja, Odbor za gospodarstvo ,Seja,16. 3. 2021
24. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,16. 3. 2021
3. nujna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,16. 3. 2021
44. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,16. 3. 2021
51. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,15. 3. 2021
76. redna seja, Odbor za zunanjo politiko ,Seja,12. 3. 2021
100. redna seja, Odbor za zadeve Evropske unije ,Seja,12. 3. 2021
43. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,12. 3. 2021
24. redna seja, Odbor za pravosodje ,Seja,11. 3. 2021
16. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,11. 3. 2021
29. nujna seja, Odbor za gospodarstvo ,Seja,10. 3. 2021
27. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,10. 3. 2021
27. nujna seja, Odbor za pravosodje ,Seja,10. 3. 2021
22. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,10. 3. 2021
14. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,9. 3. 2021
27. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,9. 3. 2021
14. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,2. 3. 2021
50. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,1. 3. 2021
99. redna seja, Odbor za zadeve Evropske unije ,Seja,26. 2. 2021
10. redna seja, Komisija za poslovnik ,Seja,26. 2. 2021
25. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,26. 2. 2021
21. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,25. 2. 2021
27. redna seja, Mandatno-volilna komisija ,Seja,25. 2. 2021
13. redna seja, Odbor za gospodarstvo ,Seja,25. 2. 2021
49. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,25. 2. 2021
28. nujna seja, Odbor za gospodarstvo ,Seja,25. 2. 2021
24. nujna seja, Komisija za nadzor javnih financ ,Seja,25. 2. 2021
32. redna seja, Odbor za finance ,Seja,24. 2. 2021
74. redna seja, Odbor za zunanjo politiko ,Seja,24. 2. 2021
26. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,23. 2. 2021
23. nujna seja, Odbor za obrambo ,Seja,22. 2. 2021
26. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,22. 2. 2021
24. nujna seja, Odbor za obrambo ,Seja,22. 2. 2021
26. nujna seja, (skupna seja) Odbor za pravosodje ,Seja,19. 2. 2021
23. nujna seja, Komisija za nadzor javnih financ ,Seja,19. 2. 2021
75. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,19. 2. 2021
42. nujna seja," (skupna seja) Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,19. 2. 2021
98. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,19. 2. 2021
23. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,18. 2. 2021
3. nujna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,18. 2. 2021
27. nujna seja, Odbor za gospodarstvo ,Seja,18. 2. 2021
9. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,17. 2. 2021
47. nujna seja, Odbor za zdravstvo ,Seja,17. 2. 2021
33. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,12. 2. 2021
32. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,12. 2. 2021
97. redna seja, Odbor za zadeve Evropske unije ,Seja,12. 2. 2021
18. redna seja, Komisija za nadzor javnih financ ,Seja,11. 2. 2021
15. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,11. 2. 2021
41. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,11. 2. 2021
23. redna seja, Odbor za pravosodje ,Seja,10. 2. 2021
31. redna seja, Odbor za finance ,Seja,10. 2. 2021
25. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,10. 2. 2021
13. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,9. 2. 2021
24. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,9. 2. 2021
25. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,9. 2. 2021
6. nujna seja, Komisija za poslovnik ,Seja,9. 2. 2021
96. redna seja, Odbor za zadeve Evropske unije ,Seja,5. 2. 2021
12. redna seja, Odbor za zdravstvo ,Seja,4. 2. 2021
4. nujna seja, Komisija za narodni skupnosti ,Seja,4. 2. 2021
20. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,4. 2. 2021
23. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,4. 2. 2021
8. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,3. 2. 2021
31. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,3. 2. 2021
30. redna seja, Odbor za finance ,Seja,3. 2. 2021
21. nujna seja, Mandatno-volilna komisija ,Seja,3. 2. 2021
2. nujna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,2. 2. 2021
48. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,1. 2. 2021
95. redna seja, Odbor za zadeve Evropske unije ,Seja,29. 1. 2021
47. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,29. 1. 2021
10. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,29. 1. 2021
40. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,22. 1. 2021
73. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,22. 1. 2021
94. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,22. 1. 2021
37. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,21. 1. 2021
26. redna seja, Mandatno-volilna komisija ,Seja,21. 1. 2021
72. redna seja, Odbor za zunanjo politiko ,Seja,20. 1. 2021
39. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,20. 1. 2021
17. redna seja, Komisija za nadzor javnih financ ,Seja,20. 1. 2021
2. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,19. 1. 2021
29. redna seja, Odbor za finance ,Seja,19. 1. 2021
2. nujna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,19. 1. 2021
46. nujna seja, Odbor za zdravstvo ,Seja,18. 1. 2021
21. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,15. 1. 2021
22. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,15. 1. 2021
93. redna seja, Odbor za zadeve Evropske unije ,Seja,15. 1. 2021
14. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,13. 1. 2021
24. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,13. 1. 2021
11. redna seja, Odbor za kulturo ,Seja,13. 1. 2021
46. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,13. 1. 2021
53. nujna seja, Odbor za finance ,Seja,13. 1. 2021
12. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,12. 1. 2021
24. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,12. 1. 2021
12. redna seja, Odbor za gospodarstvo ,Seja,12. 1. 2021
28. nujna seja, Odbor za zunanjo politiko ,Seja,11. 1. 2021
38. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,11. 1. 2021
30. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,28. 12. 2020
52. nujna seja, Odbor za finance ,Seja,28. 12. 2020
24. nujna seja, Odbor za zadeve Evropske unije ,Seja,28. 12. 2020
22. nujna seja, Odbor za obrambo ,Seja,23. 12. 2020
45. nujna seja, Odbor za zdravstvo ,Seja,21. 12. 2020
37. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,18. 12. 2020
13. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,18. 12. 2020
36. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,17. 12. 2020
21. nujna seja, Odbor za obrambo ,Seja,16. 12. 2020
33. nujna seja, Odbor za kulturo ,Seja,14. 12. 2020
25. nujna seja, (skupna seja) Odbor za pravosodje ,Seja,11. 12. 2020
35. nujna seja," (skupna seja) Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,11. 12. 2020
32. nujna seja, Odbor za kulturo ,Seja,11. 12. 2020
51. nujna seja, Odbor za finance ,Seja,11. 12. 2020
36. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,11. 12. 2020
16. redna seja, (skupna seja) Komisija za nadzor javnih financ ,Seja,10. 12. 2020
92. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,10. 12. 2020
23. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,10. 12. 2020
25. redna seja, Mandatno-volilna komisija ,Seja,10. 12. 2020
26. nujna seja, Odbor za gospodarstvo ,Seja,9. 12. 2020
71. redna seja, Odbor za zunanjo politiko ,Seja,9. 12. 2020
1. nujna seja," Preiskovalna komisija o ugotavljanju morebitne politične odgovornosti nosilcev javnih funkcij za finančno neustrezne ukrepe in sum neupravičenega omejevanja pravic pri izvajanju ukrepov, povezanih z epidemijo nalezljive bolezni COVID-19 ",Seja,9. 12. 2020
22. redna seja, Odbor za pravosodje ,Seja,9. 12. 2020
25. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,9. 12. 2020
27. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,9. 12. 2020
23. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,9. 12. 2020
19. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,8. 12. 2020
31. nujna seja, Odbor za kulturo ,Seja,8. 12. 2020
29. nujna seja, Odbor za kulturo ,Seja,8. 12. 2020
19. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,8. 12. 2020
18. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,8. 12. 2020
91. redna seja, Odbor za zadeve Evropske unije ,Seja,4. 12. 2020
30. nujna seja, Odbor za kulturo ,Seja,4. 12. 2020
28. nujna seja, Odbor za kulturo ,Seja,4. 12. 2020
26. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,3. 12. 2020
22. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,3. 12. 2020
22. nujna seja, Komisija za nadzor javnih financ ,Seja,3. 12. 2020
20. nujna seja, Odbor za obrambo ,Seja,3. 12. 2020
23. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,2. 12. 2020
21. redna seja, Odbor za pravosodje ,Seja,2. 12. 2020
13. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,1. 12. 2020
28. redna seja, Odbor za finance ,Seja,1. 12. 2020
13. redna seja, Odbor za obrambo ,Seja,26. 11. 2020
11. redna seja, Odbor za gospodarstvo ,Seja,26. 11. 2020
34. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,24. 11. 2020
49. nujna seja, Odbor za finance ,Seja,23. 11. 2020
29. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,23. 11. 2020
45. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,23. 11. 2020
24. nujna seja, Odbor za pravosodje ,Seja,20. 11. 2020
50. nujna seja, Odbor za finance ,Seja,18. 11. 2020
48. nujna seja, Odbor za finance ,Seja,14. 11. 2020
17. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,13. 11. 2020
47. nujna seja, Odbor za finance ,Seja,13. 11. 2020
24. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,13. 11. 2020
28. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,12. 11. 2020
33. nujna seja," (skupna seja) Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,12. 11. 2020
27. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,12. 11. 2020
32. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,12. 11. 2020
22. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,12. 11. 2020
24. redna seja, Mandatno-volilna komisija ,Seja,12. 11. 2020
90. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,12. 11. 2020
22. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,11. 11. 2020
21. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,11. 11. 2020
70. redna seja, Odbor za zunanjo politiko ,Seja,11. 11. 2020
1. redna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,10. 11. 2020
35. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,10. 11. 2020
10. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,9. 11. 2020
20. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,9. 11. 2020
19. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,6. 11. 2020
27. redna seja, Odbor za finance ,Seja,5. 11. 2020
21. nujna seja, Odbor za zadeve Evropske unije ,Seja,5. 11. 2020
11. redna seja, Odbor za zdravstvo ,Seja,4. 11. 2020
9. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,4. 11. 2020
31. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,4. 11. 2020
11. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,3. 11. 2020
22. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,3. 11. 2020
20. redna seja, Odbor za pravosodje ,Seja,3. 11. 2020
18. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,2. 11. 2020
15. redna seja, Komisija za nadzor javnih financ ,Seja,29. 10. 2020
27. nujna seja, Odbor za kulturo ,Seja,29. 10. 2020
16. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,29. 10. 2020
44. nujna seja, Odbor za zdravstvo ,Seja,27. 10. 2020
20. nujna seja, Odbor za zadeve Evropske unije ,Seja,27. 10. 2020
26. nujna seja, Odbor za kulturo ,Seja,26. 10. 2020
29. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,26. 10. 2020
30. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,26. 10. 2020
89. redna seja, Odbor za zadeve Evropske unije ,Seja,23. 10. 2020
25. nujna seja, Odbor za zunanjo politiko ,Seja,23. 10. 2020
43. nujna seja, Odbor za zdravstvo ,Seja,23. 10. 2020
46. nujna seja, Odbor za finance ,Seja,22. 10. 2020
45. nujna seja, Odbor za finance ,Seja,20. 10. 2020
9. redna seja, Komisija za poslovnik ,Seja,19. 10. 2020
3. redna seja, Pododbor za spremljanje rakavih obolenj v Republiki Sloveniji ,Seja,16. 10. 2020
7. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,16. 10. 2020
26. redna seja, Odbor za finance ,Seja,16. 10. 2020
34. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,16. 10. 2020
24. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,15. 10. 2020
19. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,15. 10. 2020
1. nujna seja, Preiskovalna komisija o zagotavljanju zaščitne opreme ter ukrepih institucij in nosilcev javnih funkcij za zajezitev širjenja bolezni COVID-19 od 1. 2. 2020 do odreditve predmetne parlamentarne preiskave ,Seja,15. 10. 2020
15. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,15. 10. 2020
20. nujna seja, Mandatno-volilna komisija ,Seja,15. 10. 2020
24. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,14. 10. 2020
21. nujna seja, Komisija za nadzor javnih financ ,Seja,14. 10. 2020
23. nujna seja, Odbor za pravosodje ,Seja,14. 10. 2020
14. redna seja, Komisija za nadzor javnih financ ,Seja,14. 10. 2020
21. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,14. 10. 2020
68. redna seja, Odbor za zunanjo politiko ,Seja,14. 10. 2020
33. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,13. 10. 2020
14. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,13. 10. 2020
23. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,12. 10. 2020
44. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,12. 10. 2020
42. nujna seja, Odbor za zdravstvo ,Seja,12. 10. 2020
28. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,9. 10. 2020
19. nujna seja, Odbor za obrambo ,Seja,9. 10. 2020
69. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,9. 10. 2020
24. nujna seja, Odbor za kulturo ,Seja,9. 10. 2020
25. nujna seja, Odbor za kulturo ,Seja,9. 10. 2020
88. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,9. 10. 2020
5. nujna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,8. 10. 2020
25. nujna seja, Odbor za gospodarstvo ,Seja,8. 10. 2020
43. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,8. 10. 2020
10. redna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,7. 10. 2020
9. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,7. 10. 2020
41. nujna seja, Odbor za zdravstvo ,Seja,7. 10. 2020
26. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,7. 10. 2020
10. redna seja, Odbor za kulturo ,Seja,7. 10. 2020
12. redna seja, Odbor za obrambo ,Seja,6. 10. 2020
21. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,6. 10. 2020
32. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,6. 10. 2020
67. redna seja, Odbor za zunanjo politiko ,Seja,2. 10. 2020
87. redna seja, Odbor za zadeve Evropske unije ,Seja,2. 10. 2020
20. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,2. 10. 2020
25. nujna seja," (skupna seja) Odbor za izobraževanje, znanost, šport in mladino ",Seja,1. 10. 2020
40. nujna seja, (skupna seja) Odbor za zdravstvo ,Seja,1. 10. 2020
6. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,1. 10. 2020
17. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,1. 10. 2020
23. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,1. 10. 2020
19. redna seja, Odbor za pravosodje ,Seja,1. 10. 2020
20. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,30. 9. 2020
22. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,30. 9. 2020
86. redna seja, Odbor za zadeve Evropske unije ,Seja,25. 9. 2020
25. redna seja, Odbor za finance ,Seja,19. 9. 2020
13. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,18. 9. 2020
66. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,18. 9. 2020
85. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,18. 9. 2020
10. redna seja, Odbor za zdravstvo ,Seja,17. 9. 2020
11. redna seja, Odbor za obrambo ,Seja,17. 9. 2020
18. nujna seja, Odbor za zadeve Evropske unije ,Seja,17. 9. 2020
23. redna seja, Mandatno-volilna komisija ,Seja,17. 9. 2020
13. redna seja, Komisija za nadzor javnih financ ,Seja,16. 9. 2020
12. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,16. 9. 2020
42. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,16. 9. 2020
65. redna seja, Odbor za zunanjo politiko ,Seja,16. 9. 2020
27. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,15. 9. 2020
31. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,15. 9. 2020
13. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,11. 9. 2020
84. redna seja, Odbor za zadeve Evropske unije ,Seja,11. 9. 2020
44. nujna seja, Odbor za finance ,Seja,11. 9. 2020
24. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,10. 9. 2020
9. redna seja, Odbor za zdravstvo ,Seja,10. 9. 2020
24. nujna seja, Odbor za gospodarstvo ,Seja,10. 9. 2020
23. nujna seja, Odbor za kulturo ,Seja,10. 9. 2020
22. nujna seja, Odbor za pravosodje ,Seja,9. 9. 2020
9. redna seja, Odbor za kulturo ,Seja,9. 9. 2020
22. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,9. 9. 2020
10. redna seja, Odbor za obrambo ,Seja,9. 9. 2020
19. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,8. 9. 2020
24. redna seja, Odbor za finance ,Seja,8. 9. 2020
18. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,8. 9. 2020
10. redna seja, Odbor za gospodarstvo ,Seja,3. 9. 2020
18. nujna seja, Odbor za obrambo ,Seja,3. 9. 2020
18. redna seja, Odbor za pravosodje ,Seja,3. 9. 2020
21. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,2. 9. 2020
23. nujna seja, Odbor za zunanjo politiko ,Seja,2. 9. 2020
19. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,2. 9. 2020
17. nujna seja, Odbor za zadeve Evropske unije ,Seja,1. 9. 2020
11. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,25. 8. 2020
6. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,16. 7. 2020
23. nujna seja, Odbor za gospodarstvo ,Seja,15. 7. 2020
10. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,15. 7. 2020
22. nujna seja, Odbor za kulturo ,Seja,15. 7. 2020
21. nujna seja, Odbor za pravosodje ,Seja,15. 7. 2020
9. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,15. 7. 2020
19. nujna seja, Mandatno-volilna komisija ,Seja,14. 7. 2020
22. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,13. 7. 2020
17. nujna seja, (skupna seja) Odbor za obrambo ,Seja,13. 7. 2020
83. redna seja, Odbor za zadeve Evropske unije ,Seja,13. 7. 2020
39. nujna seja, Odbor za zdravstvo ,Seja,10. 7. 2020
20. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,8. 7. 2020
8. redna seja, Komisija za poslovnik ,Seja,8. 7. 2020
8. nujna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,8. 7. 2020
20. nujna seja, Komisija za nadzor javnih financ ,Seja,7. 7. 2020
81. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,7. 7. 2020
64. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,7. 7. 2020
