xml:id,count
FerencHorvath,11
FerencHorvát,1
FerencHorváth,170
FerencHorvŕth,1
FerencHováth,3
FlorenceFerrari,4
FlorijanPoljšak,1
FraciTrček,1
FranBreznik,1
FranJurša,1
FrancBogovič,3
FrancBrezink,1
FrancBreznik,1294
FrancHermanŠimnovec,2
FrancHorvat,2
FrancJurša,100
FrancKangler,129
FrancKepa,1
FrancKlangler,1
FrancKramar,87
FrancKučan,1
FrancKüčan,1
FrancPbreznik,2
FrancPukšič,2
FrancRadman,3
FrancRančigaj,2
FrancRosec,86
FrancStanonik,5
FrancTasič,3
FrancTeček,1
FrancTreček,11
FrancTrkeč,2
FrancTrček,1994
FrancVindišar,57
FrancZabukošek,2
FrancZalar,1
FranciBreznik,3
FranciBut,1
FranciDemšar,4
FranciKepa,157
FranciKlužer,2
FranciMagister,1
FranciPetek,4
FranciRokavec,6
FranciRosec,2
FranciZalar,1
FranciZlatar,2
FranckaPremzel,1
FrancČuš,1
FranjaKerševanSmokvina,2
FrančišekVerk,4
FrančiškaAl-mansour,1
FrančiškaĆetković,1
FrncBreznik,3
FrranciPetek,1
GabrielHribar,1
GabrijelHribar,1
GabrijelŠkof,15
GajaŠtovičej,4
GašperAndrinek,1
GašperDolžan,2
GašperDovšan,1
GašperDovžan,66
GašperHrastelj,1
GašperKemperle,4
GašperMarc,2
GašperUršič,2
GašperŽbogar,1
GergorPerič,9
Gomilšak,1
GoranForbici,4
GoranKodelja,1
GoranLukić,18
GoranLukič,3
GoranNovković,5
GoranStranče,3
GoranTurk,2
GorazdHumar,1
GorazdJenko,1
GorazdKovačič,2
GorazdPodbevšek,3
GorazdPožlep,1
GorazdRenčelj,22
GorazdTrpin,4
GorazdČibej,18
GorazdČibelj,1
GordanaDrimel,3
GregaMalec,9
GregaStrban,4
GregoorPerič,1
GregorAnderluh,1
GregorBezenšek,3
GregorFicko,2
GregorGajšek,1
GregorJagodič,1
GregorJurak,1
GregorKos,6
GregorKošir,2
GregorMacedoni,3
GregorMajdič,1
GregorMajdiš,2
GregorMarkelj,6
GregorMeterc,3
GregorPerič,885
GregorPetrič,4
GregorPečan,3
GregorPust,1
GregorRepovž,2
GregorSluga,1
GregorStarc,2
GregorStrban,2
GregorStrmčnik,1
GregorStrojin,61
GregorStrojina,1
GregorŽidan,30
GreogorPerič,1
GvidoNovak,4
HanaKošan,1
HanaKošar,1
HanziFilipič,1
HarijFurlan,6
HelenaJaklitsch,17
HelenaKavčič,1
HelenaMole,1
HelenaRus,37
HelenaValas,2
HelenaZver,7
HermanPušnik,1
HinkoŠolinc,2
HorvatJožef,2
HožefHorvat,1
Humar,1
IgnacijVoje,1
IgnacijaFridelJarc,1
IgnacijaFridl,1
IgnacijaFridlJarc,108
IgnacijiFridlJarc,1
IgnacijoFridlJarc,1
IgorAntauer,38
IgorCesarec,2
IgorDovnik,3
IgorEršte,10
IgorGabrovec,4
IgorHrovatič,6
IgorJukič,2
IgorKadunc,34
IgorKastelic,2
IgorKnez,2
IgorLakota,3
IgorLamberger,1
IgorLukšič,1
IgorMali,3
IgorMally,26
IgorMarentič,3
IgorMilavc,2
IgorMilavec,1
IgorMuzlovič,3
IgorMuževič,1
IgorNered,1
IgorPapič,1
IgorPerič,9
IgorPetek,1
IgorPeček,2447
IgorPirkovič,10
IgorPušnik,3
IgorSelan,2
IgorSep,1
IgorSimšič,1
IgorSirc,10
IgorVelov,11
IgorZorčič,836
IgorČizmek,1
IgorŠirc,1
IgorŠoltes,4
IgorŠpanjol,1
IgorŠvab,3
IgroPeček,1
ImbreBalogh,2
ImreBalogh,9
InanHršak,1
IngaRemeta,6
IngeRemeta,2
IngridCelestina,1
IrenaBide,1
IrenaDrmaž,8
IrenaIlešičČujovič,12
IrenaJakličValenti,5
IrenaJoveva,2
IrenaKuntaričHribar,1
IrenaKuzma,1
IrenaLesar,1
IrenaMajcen,10
IrenaMarš,6
IrenaMomić,9
IrenaNunčič,2
IrenaOblak,1
IrenaOstrouška,1
IrenaVide,1
IrenaVidic,1
Iris,1
IrisFinkGrubačević,1
IrisJelačinKnavs,1
IrmaButina,3
IvaDimc,1
IvaDimic,2010
IvanCeglar,3
IvanEržen,1
IvanGale,3
IvanHršak,977
IvanKrajnc,3
IvanKršak,3
IvanMeh,11
IvanMolan,2
IvanOven,1
IvanRadulović,2
IvanRadulovič,1
IvanRadulovć,1
IvanSimič,3
IvanušaJani,2
IvanŠelih,10
IvanŽagar,2
IvoVajgl,1
IzidorOstanOžbolt,1
IztokAltbauer,1
IztokBricl,1
IztokHumar,6
IztokIlc,2
IztokJamšek,1
IztokKordiš,2
IztokMori,2
IztokPeroša,1
IztokProdan,1
IztokPurič,31
IztokSlavič,2
IztokSuhadolnik,5
IztokŠori,1
JadranKlinc,1
JadrankaBoturovićPonikvar,1
JadrankaButurovićPonikvar,6
JadrankaGrmek,1
JadrankaJuras,4
JadrankoGrlić,23
JakaBizjak,11
JakaMatičič,2
JakaTrilar,3
JakaVogrinčičBizjak,1
JakaŠilak,2
JakobPočivalšek,3
JakobPočivavšek,9
JanPeloza,1
JanZobec,3
JanaAhčin,8
JanaBedrač,2
JanaBoltaSaje,2
JanaKolar,1
JanaLošin,1
JanaTurk,1
JanaŽakelj,9
JanezBeja,15
JanezCiglerKralj,66
JanezDamjan,1
JanezDolgar,1
JanezDoltar,1
JanezErjavec,2
JanezHorvat,1
JanezHribar,1
JanezIvanJanša,1
JanezJanša,11
JanezJazbec,4
JanezKrek,2
JanezKromar,2
JanezKušar,1
JanezLenarčič,14
JanezLogar,11
