xml:id	count	correct_string
AnemarijaPlanšak	1	AnemarijaPlanšak
AnerejRibič	1	AndrejRibič
AngelikaMlinar	33	AngelikaMlinar
AngelineTrajkovski	1	AngelinaTrajkovski
AnicaHribar	1	AnicaHribar
AnicaUžmah	1	AnicaUžmah
AnitGoršek	2	AnitaGoršek
AnitaGoršek	17	AnitaGoršek
AnitaOgulin	5	AnitaOgulin
AnjaAhčin	2	AnjaAhčin
AnjaBahŽibert	2694	AnjaBahŽibert
AnjaBahŽiberta	1	AnjaBahŽibert
AnjaBahŽibet	2	AnjaBahŽibert
AnjaBahŽibrt	1	AnjaBahŽibert
AnjaFortuna	1	AnjaFortuna
AnjaGolob	2	AnjaGolob
AnjaKopač	3	AnjaKopač
AnjaKopačMrak	2	AnjaKopačMrak
AnjaLobnik	1	AljaLobnik
AnjaSkele	1	AnjaSkele
AnjaZorko	1	AnjaZorko
AnkaOražem	4	AnkaOražem
AnkaTominšek	1	AnkaTominšek
AnrejRajh	3	AndrejRajh
AnrejŠircelj	1	AndrejŠircelj
AntonHare	1	AntonHarej
AntonHarej	14	AntonHarej
AntonJagodic	6	AntonJagodic
AntonKokalj	2	AntonKokalj
AntonLuznar	2	AntonLuznar
AntonMeden	5	AntonMeden
AntonMedved	3	AntonMedved
AntonNiculescu	4	AntonNiculescu
AntonOlaj	29	AntonOlaj
AntonRamšak	1	AntonRamšak
AntonTravner	3	AntonTravner
AntonVozelj	1	AntonVozelj
AntonZakrajšek	1	AntonZakrajšek
AntonZavodnik	2	AntonZavodnik
AntonijaBožičCerar	1	AntonijaBožičCerar
AntonijaCerar	2	AntonijaCerar
AntonioRocco	3	AntonioRocco
AntonČesen	1	AntonČesen
AnuškaPodvršič	1	AnuškaPodvršič
AnžeLogar	1177	AnžeLogar
AnžeVohBoštic	1	AnžeVohBoštic
ApolonijaSimon	2	PolonijaSimon
AstaVrečko	1	AstaVrečko
AtašaSukič	1	NatašaSukič
AvguštinMalle	1	AvguštinMalle
B0štjanKoražija	1	BoštjanKoražija
BarabaraGerečnik	1	BarbaraGerečnik
BarbaraAntolićVupora	1	BarbaraAntolićVupora
BarbaraGerečnik	15	BarbaraGerečnik
BarbaraJenkoleŽigante	1	BarbaraJenkoleŽigante
BarbaraKobalTomc	9	BarbaraKobalTomc
BarbaraKoželjPodlogar	1	BarbaraKoželjPodlogar
BarbaraKranjc	1	BarbaraKranjc
BarbaraKrivic	1	BarbaraKrivic
BarbaraKürnerČad	7	BarbaraKürnerČad
BarbaraLipovšek	6	BarbaraLipovšek
BarbaraLončar	1	BarbaraLončar
BarbaraNerat	14	BarbaraNerat
BarbaraNovak	3	BarbaraNovak
BarbaraPeternelj	2	BarbaraPeternelj
BarbaraPregelj	1	BarbaraPregelj
BarbaraRajgelj	2	BarbaraRajgelj
BarbaraRiman	11	BarbaraRiman
BarbaraSkubic	1	BarbaraSkubic
BarbaraSušnik	3	BarbaraSušnik
BarbaraToplakPerovič	2	BarbaraToplakPerovič
BarbaraĐerfi	3	BarbaraĐerfi
BarbaraŠkrabaFlis	2	BarbaraŠkrabaFlis
BarbaraŠtrukelj	3	BarbaraŠtrukelj
BenjaminGorišek	1	BenjaminGorišek
Bernard	2	unknown-M
BernardSadovnik	5	BernardSadovnik
BernhardHauer	4	BernhardHauer
BertoMenard	1	BertoMenard
BevkSamo	1	BevkSamo
Bećiri	1	FatmirBećiri
BiserkaIlin	2	BiserkaIlin
BiserkaMarolgMeden	1	BiserkaMaroltMeden
BiserkaMaroltMedem	1	BiserkaMaroltMeden
BiserkaMaroltMeden	8	BiserkaMaroltMeden
BlažCvar	1	BlažCvar
BlažGrmšek	2	BlažGrmšek
BlažHeij	4	BlažHeij
BlažKovač	7	BlažKovač
BlažKovačičMlinar	2	BlažKovačičMlinar
BlažKošorog	3	BlažKošorok
BlažKošorok	73	BlažKošorok
BlažMrevlje	2	BlažMrevlje
BlažPaulič	2	BlažPavlin
BlažPavlin	1271	BlažPavlin
BlažPerko	5	BlažPerko
